birth_state,status,injury_start_date,birth_date,search_full_name,injury_notes,team,fantasy_data_id,position,rotoworld_id,stats_id,depth_chart_order,sportradar_id,depth_chart_position,hashtag,first_name,search_last_name,search_rank,search_first_name,birth_city,pandascore_id,fantasy_positions,college,last_name,espn_id,injury_status,metadata,age,yahoo_id,height,number,birth_country,weight,injury_body_part,full_name,high_school,swish_id,gsis_id,player_id,active,news_updated,sport,practice_description,years_exp,rotowire_id,practice_participation
None,Active,None,1995-07-12,gregward,None,PHI,19705.0,WR,12815.0,741292.0,3.0,0832c8ad-0872-446f-ad6e-0e309e8443d1,SWR,#gregward-NFL-PHI-84,Greg,ward,9999999.0,greg,None,None,['WR'],Houston,Ward,3040035.0,None,None,27.0,30715.0,71,84.0,None,190,None,Greg Ward,John Tyler (TX),741292.0,00-0033733,6744,True,1676832341533.0,nfl,None,6.0,11883.0,None
None,Injured Reserve,None,1989-08-09,nilespaul,None,None,13170.0,TE,6661.0,406159.0,None,38f5843a-8318-4eb7-b517-c83d415e77a4,None,#nilespaul-NFL-FA-0,Niles,paul,9999999.0,niles,None,None,['TE'],Nebraska,Paul,14156.0,None,None,32.0,24942.0,73,0.0,None,242,None,Niles Paul,Millard North (NE),None,00-0028093,918,False,1565134827397.0,nfl,None,11.0,7384.0,None
None,Active,None,1990-09-24,quincymcduffie,None,None,15554.0,WR,None,None,None,3b6aa74d-d3a9-445f-8415-254d6cabe7a9,None,#quincymcduffie-NFL-FA-16,Quincy,mcduffie,9999999.0,quincy,None,None,['WR'],Central Florida,McDuffie,None,None,None,31.0,26886.0,70,16.0,None,178,None,Quincy McDuffie,Edgewater (FL),None,None,4910,True,None,nfl,None,9.0,9033.0,None
None,Injured Reserve,None,1980-12-18,benjaminwatson,None,None,11756.0,TE,48.0,246082.0,None,d81844de-54c3-42ee-9850-072dc4131b6f,None,#benjaminwatson-NFL-FA-0,Benjamin,watson,9999999.0,benjamin,None,None,['TE'],Georgia,Watson,5557.0,None,None,41.0,6791.0,75,0.0,None,255,None,Benjamin Watson,Northwestern (SC),None,00-0022943,663,True,1584377415560.0,nfl,None,18.0,3872.0,None
None,Active,None,1996-04-03,alecbloom,None,None,20464.0,TE,None,838256.0,None,69e38370-3c00-470d-aed2-af98bcddb7c1,None,#alecbloom-NFL-FA-87,Alec,bloom,9999999.0,alec,None,None,['TE'],Connecticut,Bloom,3125891.0,None,None,25.0,31298.0,78,87.0,None,253,None,Alec Bloom,Ligonier Valley Senior,None,00-0034472,5385,True,None,nfl,None,4.0,13209.0,None
None,Inactive,None,1989-02-01,travariscadet,None,None,14352.0,RB,7758.0,400644.0,None,b4ce3e07-7848-4da2-a33e-4f04ce540ba5,None,#travariscadet-NFL-FA-38,Travaris,cadet,9999999.0,travaris,None,None,['RB'],Appalachian State,Cadet,15457.0,None,None,32.0,26024.0,73,38.0,None,210,None,Travaris Cadet,Miami Central (FL),None,00-0029205,1185,False,1571191251347.0,nfl,None,10.0,8454.0,None
None,Active,None,1993-08-01,johnrobinsonwoodgett,None,None,19376.0,RB,None,703309.0,None,fdc94755-aca2-4368-b286-575e7f6c3487,None,#johnrobinsonwoodgett-NFL-FA-42,John,robinsonwoodgett,9999999.0,john,None,None,['RB'],Massachusetts,Robinson-Woodgett,2982839.0,None,None,28.0,30416.0,73,42.0,None,247,None,John Robinson-Woodgett,Cathedral (MA),None,None,4504,True,None,nfl,None,5.0,None,None
None,Inactive,None,1993-11-20,janariongrant,None,None,20585.0,WR,None,746179.0,None,393cdcc9-20ec-4d07-b8bf-6848398b6ab8,None,#janariongrant-NFL-FA-84,Janarion,grant,9999999.0,janarion,None,None,['WR'],Rutgers,Grant,3047490.0,None,None,28.0,31506.0,69,84.0,None,180,None,Janarion Grant,Pasco,None,00-0034307,5567,False,1537901103250.0,nfl,None,4.0,12760.0,None
None,Active,None,None,charlesholland,None,None,21527.0,WR,None,1166934.0,None,a70ceaf4-61e2-4687-b77a-8d2f62eb1af1,None,#charlesholland-NFL-FA-0,Charles,holland,9999999.0,charles,None,None,['WR'],Tiffin,Holland,4069839.0,None,{'override_active': 'false'},None,32467.0,76,0.0,None,185,None,Charles Holland,West,None,None,6643,False,1557865826649.0,nfl,None,0.0,13997.0,None
None,Active,None,1997-12-07,johnhall,None,SEA,None,WR,None,None,None,09934a90-ea04-11ed-8d34-41182339b277,None,#johnhall-NFL-SEA-0,John,hall,9999999.0,john,None,None,['WR'],Northwood,Hall,None,None,None,25.0,None,76,0.0,None,185,None,John Hall,Macomb Dakota (MI),None,None,11223,True,None,nfl,None,0.0,None,None
None,Active,None,1996-01-06,noahbrown,None,HOU,19080.0,WR,None,836103.0,2.0,36f62824-1cdb-4e9e-8a11-55df97e562b9,RWR,#noahbrown-NFL-HOU-85,Noah,brown,554.0,noah,None,None,['WR'],Ohio State,Brown,3121409.0,None,None,27.0,30352.0,74,85.0,None,215,None,Noah Brown,Pope John XXIII (NJ),836103.0,00-0033591,4234,True,1678817751806.0,nfl,None,6.0,11849.0,None
None,Active,None,1991-07-01,loganthomas,None,WAS,16656.0,TE,9354.0,507528.0,1.0,b24625a0-d402-4d59-a778-aa4b073bfe5e,TE,#loganthomas-NFL-WAS-82,Logan,thomas,292.0,logan,None,None,['TE'],Virginia Tech,Thomas,16813.0,None,None,31.0,27648.0,78,82.0,None,250,None,Logan Thomas,Brookville (VA),507528.0,00-0031260,2251,True,1674330056796.0,nfl,None,9.0,9323.0,None
None,Active,None,1993-12-01,dariusjackson,None,None,18132.0,RB,None,694135.0,None,b6ec1773-309e-422c-b82c-b55a557031d6,None,#dariusjackson-NFL-FA-0,Darius,jackson,670.0,darius,None,None,['RB'],Eastern Michigan,Jackson,2980197.0,None,None,28.0,29450.0,72,0.0,None,220,None,Darius Jackson,Sparta (IL),694135.0,00-0033049,3371,True,1641448515299.0,nfl,None,6.0,11190.0,None
None,Active,None,1989-12-29,travisbenjamin,None,None,13887.0,WR,7562.0,464646.0,None,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,None,#travisbenjamin-NFL-FA-17,Travis,benjamin,9999999.0,travis,None,None,['WR'],Miami (FL),Benjamin,15062.0,None,None,32.0,25810.0,70,17.0,None,175,None,Travis Benjamin,Glades Central (FL),464646.0,00-0029269,1077,True,1635697526973.0,nfl,None,10.0,8111.0,None
None,Active,None,1999-04-09,natemccrary,None,CLE,None,RB,None,None,None,8f5392ce-36c3-4613-967c-abcec98f591c,None,#natemccrary-NFL-CLE-48,Nate,mccrary,9999999.0,nate,None,None,['RB'],Saginaw Valley State,McCrary,None,None,None,24.0,None,72,48.0,None,213,None,Nate McCrary,Reeths-Puffer (MI),1284191.0,None,8058,True,1673476227206.0,nfl,None,2.0,15667.0,None
None,Inactive,None,1990-11-05,nickkasa,None,None,15068.0,TE,None,500554.0,None,578db999-6f6c-4b31-851c-9adb585e1c5a,None,#nickkasa-NFL-FA-84,Nick,kasa,9999999.0,nick,None,None,['TE'],Colorado,Kasa,15962.0,None,None,26.0,None,"6'6""",84.0,None,269,None,Nick Kasa,None,None,None,1473,False,None,nfl,None,2.0,8908.0,None
None,Active,None,1994-12-24,xavierturner,None,None,21317.0,RB,None,835062.0,None,91671654-f27f-498a-b3ed-7bf006ee3f2b,None,#xavierturner-NFL-FA-41,Xavier,turner,9999999.0,xavier,None,None,['RB'],Tarleton State,Turner,3119996.0,None,None,27.0,32162.0,70,41.0,None,225,None,Xavier Turner,Birdville (TX),None, 00-0035494,6372,True,1576090851176.0,nfl,None,3.0,14042.0,None
None,Active,None,1994-10-18,damoreeastringfellow,None,None,19260.0,WR,None,747911.0,None,a8dbddc6-b4c9-4c8e-86c8-2e49026e7418,None,#damoreeastringfellow-NFL-FA-17,Damore'ea,stringfellow,9999999.0,damoreea,None,None,['WR'],Mississippi,Stringfellow,3052182.0,None,None,27.0,30653.0,74,17.0,None,222,None,Damore'ea Stringfellow,Rancho Verde (CA),None,00-0033417,4401,True,1536282602776.0,nfl,None,5.0,11688.0,None
None,Inactive,None,1997-09-10,dariusanderson,None,None,21792.0,RB,None,None,None,9a5ebed1-839d-40f9-a86e-ba9c65c7c7e6,None,#dariusanderson-NFL-FA-30,Darius,anderson,303.0,darius,None,None,['RB'],TCU,Anderson,4038533.0,Questionable,None,25.0,33098.0,71,30.0,None,212,None,Darius Anderson,George Ranch (TX),913387.0,None,7038,True,1660167603307.0,nfl,None,2.0,14565.0,None
None,Active,None,1997-10-06,kalijalipscomb,None,None,21716.0,WR,None,None,None,528b6f5c-7043-4c5a-bb04-7314b1e0f155,None,#kalijalipscomb-NFL-FA-19,Kalija,lipscomb,9999999.0,kalija,None,None,['WR'],Vanderbilt,Lipscomb,4035277.0,None,None,24.0,32946.0,73,19.0,None,200,None,Kalija Lipscomb,Jesuit (LA),None,None,6832,True,1628815218411.0,nfl,None,2.0,14640.0,None
None,Active,None,1997-09-19,samsloman,None,None,22154.0,K,None,None,None,e44cc736-fe98-4b80-a138-4ebc5f087335,None,#samsloman-NFL-FA-1,Sam,sloman,410.0,sam,None,None,['K'],Miami (OH),Sloman,4038994.0,None,None,25.0,32918.0,68,1.0,None,205,None,Sam Sloman,Pace Academy (GA),915966.0,None,7152,True,1666130445742.0,nfl,None,2.0,14837.0,None
None,Active,None,None,marceliassutton,None,None,21614.0,RB,None,976239.0,None,a5b32b41-5394-41ab-b5ec-a8a0824b5605,None,#marceliassutton-NFL-FA-0,Marcelias,sutton,9999999.0,marcelias,None,None,['RB'],Oklahoma,Sutton,4241403.0,None,None,None,32613.0,69,0.0,None,192,None,Marcelias Sutton,James Kenan,None,None,6700,True,1564015532496.0,nfl,None,3.0,14319.0,None
None,Inactive,None,None,reggiecorbin,None,None,21805.0,RB,None,None,None,,None,#reggiecorbin-NFL-FA-0,Reggie,corbin,9999999.0,reggie,None,None,['RB'],Illinois,Corbin,None,NA,{'override_active': 'false'},None,None,"5'8""",0.0,None,201,None,Reggie Corbin,None,None,None,6978,False,None,nfl,None,0.0,None,None
None,Inactive,None,1984-08-24,kevinkolb,None,None,7034.0,QB,None,None,None,,None,#kevinkolb-NFL-FA-4,Kevin,kolb,9999999.0,kevin,None,None,['QB'],Houston,Kolb,None,None,None,33.0,None,"6'3""",4.0,None,218,None,Kevin Kolb,None,None,None,278,False,None,nfl,None,7.0,None,None
None,Active,None,1994-06-23,jordanwesterkamp,None,None,19698.0,WR,None,651878.0,None,e7db6483-9f69-4574-aed9-a36f1329d9e5,None,#jordanwesterkamp-NFL-FA-0,Jordan,westerkamp,9999999.0,jordan,None,None,['WR'],Nebraska,Westerkamp,2974334.0,None,None,27.0,30914.0,72,0.0,None,200,None,Jordan Westerkamp,Montini Catholic (IL),None,None,4787,True,None,nfl,None,5.0,12320.0,None
None,Inactive,None,1993-12-06,zacholstad,None,None,20616.0,RB,None,1116601.0,None,50828eca-6954-47f9-8610-3bf7b7ff5e2b,None,#zacholstad-NFL-FA-36,Zach,olstad,9999999.0,zach,None,None,['RB'],Winona State,Olstad,4339829.0,None,None,28.0,31700.0,71,36.0,None,245,None,Zach Olstad,Fillmore Central,None,None,5697,True,1534639510426.0,nfl,None,4.0,13327.0,None
None,Active,None,1999-03-29,demontretuggle,None,None,None,RB,None,None,None,b4be3630-cfa9-11ec-a024-8f80a1cdd928,None,#demontretuggle-NFL-FA-0,De'Montre,tuggle,446.0,demontre,None,None,['RB'],Ohio,Tuggle,None,None,{'years_exp_shift': '1'},23.0,None,68,0.0,None,206,None,De'Montre Tuggle,Channelview (TX),1174038.0,None,8721,True,1661878223913.0,nfl,None,1.0,16462.0,None
None,Active,None,1994-01-26,kenyandrake,None,None,18003.0,RB,11263.0,694588.0,None,a0b93053-d349-4dd1-a840-24577102699b,None,#kenyandrake-NFL-FA-17,Kenyan,drake,326.0,kenyan,None,None,['RB'],Alabama,Drake,2979843.0,None,None,29.0,29307.0,73,17.0,None,216,None,Kenyan Drake,Hillgrove (GA),694588.0,00-0033118,3242,True,1673828104651.0,nfl,None,7.0,11002.0,None
None,Active,None,1994-01-20,wendellsmallwood,None,WAS,18070.0,RB,11451.0,728035.0,None,c7d0a740-fcf2-4971-b1b6-43761d984bf9,None,#wendellsmallwood-NFL-WAS-38,Wendell,smallwood,334.0,wendell,None,None,['RB'],West Virginia,Smallwood,3042429.0,None,{'injury_override_regular_2020_5': 'Active'},27.0,29387.0,70,38.0,None,208,None,Wendell Smallwood,Eastern Christian Academy (MD),728035.0,00-0032782,3309,True,1641276961310.0,nfl,None,6.0,10806.0,None
None,Active,None,1993-01-05,darylvirgies,None,None,18835.0,RB,None,None,None,4715105f-88a0-4b8e-98ac-8ccf7e512f27,None,#darylvirgies-NFL-FA-0,Daryl,virgies,9999999.0,daryl,None,None,['RB'],Virginia-Lynchburg,Virgies,None,None,None,29.0,30097.0,,0.0,None,205,None,Daryl Virgies,Trenton Central (NJ),None,None,4917,True,None,nfl,None,5.0,11729.0,None
None,Active,None,1996-04-25,johnlovett,None,MIA,21156.0,QB,None,832213.0,2.0,fbaa74ff-f6d3-4bbc-bdc1-12aae7fae484,FB,#johnlovett-NFL-MIA-46,John,lovett,9999999.0,john,None,None,['RB'],Princeton,Lovett,3118906.0,Questionable,None,27.0,32364.0,74,46.0,None,236,None,John Lovett,DeMatha Catholic (MD),832213.0, 00-0035161,6231,True,1678999508899.0,nfl,None,4.0,14184.0,None
None,Inactive,None,None,tylerrutenbeck,None,None,17378.0,WR,None,870442.0,None,4f65dfb7-29a4-45dd-9b7d-95fd51132dbb,None,#tylerrutenbeck-NFL-FA-0,Tyler,rutenbeck,9999999.0,tyler,None,None,['WR'],None,Rutenbeck,None,None,None,None,None,,0.0,None,,None,Tyler Rutenbeck,None,None,None,2910,False,None,nfl,None,None,None,None
